# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 110K of event 'task-clock'
# Event count (approx.): 110511000000
#
# Children      Self  Command  Shared Object        Symbol                                                         
# ........  ........  .......  ...................  ...............................................................
#
     0.00%     0.00%  main     [kernel.kallsyms]    [k] set_page_writeback
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __find_get_block
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __folio_end_writeback
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __folio_mark_dirty
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __mem_cgroup_try_charge_swap
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __mod_timer
     0.00%     0.00%  main     [kernel.kallsyms]    [k] __wake_up_common_lock
     0.00%     0.00%  main     [kernel.kallsyms]    [k] ata_scsi_queuecmd
     0.00%     0.00%  main     [kernel.kallsyms]    [k] bio_add_folio
     0.00%     0.00%  main     [kernel.kallsyms]    [k] bio_split_rw
     0.00%     0.00%  main     [kernel.kallsyms]    [k] cgroup_rstat_flush
     0.00%     0.00%  main     [kernel.kallsyms]    [k] delete_from_page_cache_batch
     0.00%     0.00%  main     [kernel.kallsyms]    [k] end_swap_bio_write
     0.00%     0.00%  main     [kernel.kallsyms]    [k] folio_referenced
     0.00%     0.00%  main     [kernel.kallsyms]    [k] get_partial_node.part.0
     0.00%     0.00%  main     [kernel.kallsyms]    [k] jbd2_journal_get_write_access
     0.00%     0.00%  main     [kernel.kallsyms]    [k] note_gp_changes
     0.00%     0.00%  main     [kernel.kallsyms]    [k] wbt_wait
     0.00%     0.00%  main     [kernel.kallsyms]    [k] xas_load


# Samples: 110K of event 'cycles'
# Event count (approx.): 369454664076
#
# Children      Self  Command  Shared Object         Symbol                                                         
# ........  ........  .......  ....................  ...............................................................
#
    99.86%    99.32%  main     main                  [.] matrixMultiplyIJK(double*, double*, double*, int, int, int)
            |
            ---matrixMultiplyIJK(double*, double*, double*, int, int, int)

     0.48%     0.05%  main     [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.43%     0.00%  main     [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.41%     0.01%  main     [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.40%     0.01%  main     [kernel.kallsyms]     [k] hrtimer_interrupt
     0.38%     0.01%  main     [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.21%     0.00%  main     [kernel.kallsyms]     [k] tick_sched_timer
     0.17%     0.00%  main     [kernel.kallsyms]     [k] tick_sched_handle
     0.17%     0.00%  main     [kernel.kallsyms]     [k] update_process_times
     0.15%     0.00%  main     [kernel.kallsyms]     [k] scheduler_tick
     0.13%     0.01%  main     [kernel.kallsyms]     [k] perf_swevent_hrtimer
     0.12%     0.00%  main     [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.12%     0.00%  main     [kernel.kallsyms]     [k] do_syscall_64
     0.11%     0.00%  main     [kernel.kallsyms]     [k] __perf_event_overflow
     0.11%     0.00%  main     [kernel.kallsyms]     [k] perf_event_output_forward
     0.10%     0.04%  main     [kernel.kallsyms]     [k] asm_exc_page_fault
     0.10%     0.00%  main     [kernel.kallsyms]     [k] perf_event_task_tick
     0.10%     0.09%  main     [kernel.kallsyms]     [k] perf_adjust_freq_unthr_context
     0.08%     0.00%  main     [kernel.kallsyms]     [k] perf_prepare_sample
     0.06%     0.00%  main     [kernel.kallsyms]     [k] perf_callchain
     0.06%     0.00%  main     [kernel.kallsyms]     [k] exc_page_fault
     0.06%     0.00%  main     [kernel.kallsyms]     [k] do_user_addr_fault
     0.06%     0.00%  main     [kernel.kallsyms]     [k] get_perf_callchain
     0.06%     0.00%  main     libc.so.6             [.] read
     0.06%     0.00%  main     [kernel.kallsyms]     [k] __x64_sys_read
     0.06%     0.00%  main     [kernel.kallsyms]     [k] ksys_read
     0.06%     0.00%  main     [kernel.kallsyms]     [k] vfs_read
     0.06%     0.00%  main     [kernel.kallsyms]     [k] ext4_file_read_iter
     0.06%     0.00%  main     [kernel.kallsyms]     [k] generic_file_read_iter
     0.06%     0.00%  main     [kernel.kallsyms]     [k] filemap_read
     0.06%     0.00%  main     [kernel.kallsyms]     [k] copy_page_to_iter
     0.06%     0.00%  main     [kernel.kallsyms]     [k] _copy_to_iter
     0.04%     0.01%  main     [kernel.kallsyms]     [k] copyout
     0.04%     0.00%  main     [kernel.kallsyms]     [k] handle_mm_fault
     0.04%     0.00%  main     [kernel.kallsyms]     [k] __handle_mm_fault
     0.04%     0.00%  main     [kernel.kallsyms]     [k] handle_pte_fault
     0.04%     0.00%  main     [kernel.kallsyms]     [k] do_anonymous_page
     0.04%     0.00%  main     libc.so.6             [.] __GI___writev
     0.04%     0.00%  main     [kernel.kallsyms]     [k] __x64_sys_writev
     0.04%     0.00%  main     [kernel.kallsyms]     [k] do_writev
     0.04%     0.00%  main     [kernel.kallsyms]     [k] vfs_writev
     0.04%     0.00%  main     [kernel.kallsyms]     [k] do_iter_write
     0.04%     0.00%  main     [kernel.kallsyms]     [k] do_iter_readv_writev
     0.04%     0.00%  main     [kernel.kallsyms]     [k] ext4_file_write_iter
     0.04%     0.00%  main     [kernel.kallsyms]     [k] ext4_buffered_write_iter
     0.04%     0.00%  main     [kernel.kallsyms]     [k] generic_perform_write
     0.03%     0.00%  main     [kernel.kallsyms]     [k] tick_do_update_jiffies64
     0.03%     0.00%  main     [kernel.kallsyms]     [k] tick_sched_do_timer
     0.03%     0.00%  main     [kernel.kallsyms]     [k] update_wall_time
     0.03%     0.00%  main     [kernel.kallsyms]     [k] timekeeping_advance
     0.03%     0.03%  main     [kernel.kallsyms]     [k] sync_regs
     0.02%     0.00%  main     [unknown]             [k] 0x2e319af85a442ccf
     0.02%     0.00%  main     [unknown]             [k] 0x0000000000000017
     0.02%     0.00%  main     libc.so.6             [.] __memset_evex_unaligned_erms
     0.02%     0.00%  main     [kernel.kallsyms]     [k] __get_user_nocheck_8
     0.02%     0.00%  main     [kernel.kallsyms]     [k] timekeeping_update
     0.02%     0.00%  main     [kernel.kallsyms]     [k] ext4_da_write_begin
     0.02%     0.00%  main     [kernel.kallsyms]     [k] __alloc_pages
     0.02%     0.00%  main     [kernel.kallsyms]     [k] task_tick_fair
     0.02%     0.00%  main     [kernel.kallsyms]     [k] __irq_exit_rcu
     0.02%     0.00%  main     [kernel.kallsyms]     [k] irq_exit_rcu
     0.02%     0.00%  main     [kernel.kallsyms]     [k] vma_alloc_folio
     0.02%     0.00%  main     [kernel.kallsyms]     [k] __mem_cgroup_charge
