# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 354K of event 'task-clock'
# Event count (approx.): 354215000000
#
# Children      Self  Command  Shared Object      Symbol                                                         
# ........  ........  .......  .................  ...............................................................
#
    99.95%     0.00%  main     [unknown]          [.] 0x4044b856735ca06c
            |
            ---0x4044b856735ca06c
               matrixMultiplyKJI(double*, double*, double*, int, int, int)

    99.95%    99.93%  main     main               [.] matrixMultiplyKJI(double*, double*, double*, int, int, int)
            |          
             --99.93%--0x4044b856735ca06c
                       matrixMultiplyKJI(double*, double*, double*, int, int, int)

     0.00%     0.00%  main     [kernel.kallsyms]  [k] folio_mapping
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mod_zone_page_state
     0.00%     0.00%  main     [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.00%     0.00%  main     [kernel.kallsyms]  [k] xas_move_index
     0.00%     0.00%  main     [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%     0.00%  main     [kernel.kallsyms]  [k] jbd2_write_access_granted
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mod_objcg_state
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ___slab_alloc
     0.00%     0.00%  main     [kernel.kallsyms]  [k] _raw_spin_trylock
     0.00%     0.00%  main     [kernel.kallsyms]  [k] filemap_get_folios_tag
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mtree_range_walk
     0.00%     0.00%  main     [kernel.kallsyms]  [k] node_dirty_ok
     0.00%     0.00%  main     [kernel.kallsyms]  [k] _raw_read_unlock
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __dquot_alloc_space
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.00%     0.00%  main     [kernel.kallsyms]  [k] _raw_write_lock
     0.00%     0.00%  main     [kernel.kallsyms]  [k] down_read_trylock
     0.00%     0.00%  main     [kernel.kallsyms]  [k] xa_get_order
     0.00%     0.00%  main     [kernel.kallsyms]  [k] folio_test_hugetlb
     0.00%     0.00%  main     [kernel.kallsyms]  [k] bio_endio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] consume_stock
     0.00%     0.00%  main     [kernel.kallsyms]  [k] free_unref_page_prepare
     0.00%     0.00%  main     [kernel.kallsyms]  [k] cpu_util
     0.00%     0.00%  main     [kernel.kallsyms]  [k] update_group_capacity
     0.00%     0.00%  main     [kernel.kallsyms]  [k] tcp_orphan_count_sum
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __x64_sys_exit_group
     0.00%     0.00%  main     [kernel.kallsyms]  [k] rseq_get_rseq_cs
     0.00%     0.00%  main     [kernel.kallsyms]  [k] do_group_exit
     0.00%     0.00%  main     [kernel.kallsyms]  [k] _find_next_and_bit
     0.00%     0.00%  main     [kernel.kallsyms]  [k] group_balance_cpu
     0.00%     0.00%  main     [kernel.kallsyms]  [k] do_exit
     0.00%     0.00%  main     [kernel.kallsyms]  [k] exit_mm
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mpage_map_one_extent
     0.00%     0.00%  main     [kernel.kallsyms]  [k] submit_bio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] pud_val
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_map_blocks
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mmput
     0.00%     0.00%  main     [kernel.kallsyms]  [k] submit_bio_noacct
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __mmput
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_ext_map_blocks
     0.00%     0.00%  main     [kernel.kallsyms]  [k] submit_bio_noacct_nocheck
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __submit_bio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] exit_mmap
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_mb_new_blocks
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __ext4_journal_stop
     0.00%     0.00%  main     [kernel.kallsyms]  [k] blk_mq_submit_bio
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_mb_regular_allocator
     0.00%     0.00%  main     [kernel.kallsyms]  [k] blk_add_rq_to_plug
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_mb_find_by_goal
     0.00%     0.00%  main     [kernel.kallsyms]  [k] jbd2_journal_stop
     0.00%     0.00%  main     [kernel.kallsyms]  [k] rcu_core_si
     0.00%     0.00%  main     [kernel.kallsyms]  [k] blk_mq_flush_plug_list.part.0
     0.00%     0.00%  main     [kernel.kallsyms]  [k] call_timer_fn
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_mb_use_best_found
     0.00%     0.00%  main     [kernel.kallsyms]  [k] find_vma
     0.00%     0.00%  main     [kernel.kallsyms]  [k] rcu_core
     0.00%     0.00%  main     [kernel.kallsyms]  [k] stop_this_handle
     0.00%     0.00%  main     libc.so.6          [.] fopen@@GLIBC_2.2.5
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.00%     0.00%  main     [kernel.kallsyms]  [k] __wake_up
     0.00%     0.00%  main     [kernel.kallsyms]  [k] blk_mq_dispatch_plug_list
     0.00%     0.00%  main     [kernel.kallsyms]  [k] delete_from_page_cache_batch
     0.00%     0.00%  main     [kernel.kallsyms]  [k] ext4_da_reserve_space
     0.00%     0.00%  main     [kernel.kallsyms]  [k] fscrypt_mergeable_bio_bh
     0.00%     0.00%  main     [kernel.kallsyms]  [k] jbd2_journal_get_write_access
     0.00%     0.00%  main     [kernel.kallsyms]  [k] mb_mark_used
     0.00%     0.00%  main     [kernel.kallsyms]  [k] memcg_slab_post_alloc_hook
     0.00%     0.00%  main     [kernel.kallsyms]  [k] note_gp_changes
     0.00%     0.00%  main     [kernel.kallsyms]  [k] tcp_orphan_update
     0.00%     0.00%  main     [unknown]          [.] 0x782b77002b77002b


# Samples: 353K of event 'cycles'
# Event count (approx.): 1115355094505
#
# Children      Self  Command  Shared Object         Symbol                                                         
# ........  ........  .......  ....................  ...............................................................
#
    99.95%     0.00%  main     [unknown]             [.] 0x4044b856735ca06c
            |
            ---0x4044b856735ca06c
               matrixMultiplyKJI(double*, double*, double*, int, int, int)
               |          
                --0.51%--asm_sysvec_apic_timer_interrupt

    99.95%    99.40%  main     main                  [.] matrixMultiplyKJI(double*, double*, double*, int, int, int)
            |          
            |--99.40%--0x4044b856735ca06c
            |          matrixMultiplyKJI(double*, double*, double*, int, int, int)
            |          
             --0.55%--matrixMultiplyKJI(double*, double*, double*, int, int, int)
                       |          
                        --0.51%--asm_sysvec_apic_timer_interrupt

     0.51%     0.04%  main     [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.45%     0.00%  main     [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.43%     0.01%  main     [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.42%     0.01%  main     [kernel.kallsyms]     [k] hrtimer_interrupt
     0.38%     0.01%  main     [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.21%     0.00%  main     [kernel.kallsyms]     [k] tick_sched_timer
     0.16%     0.00%  main     [kernel.kallsyms]     [k] tick_sched_handle
     0.16%     0.00%  main     [kernel.kallsyms]     [k] update_process_times
     0.14%     0.00%  main     [kernel.kallsyms]     [k] scheduler_tick
     0.12%     0.01%  main     [kernel.kallsyms]     [k] perf_swevent_hrtimer
     0.10%     0.00%  main     [kernel.kallsyms]     [k] __perf_event_overflow
     0.10%     0.00%  main     [kernel.kallsyms]     [k] perf_event_output_forward
     0.10%     0.00%  main     [kernel.kallsyms]     [k] perf_event_task_tick
     0.09%     0.08%  main     [kernel.kallsyms]     [k] perf_adjust_freq_unthr_context
     0.08%     0.00%  main     [kernel.kallsyms]     [k] perf_prepare_sample
     0.07%     0.00%  main     [kernel.kallsyms]     [k] perf_callchain
     0.06%     0.00%  main     [kernel.kallsyms]     [k] get_perf_callchain
     0.05%     0.00%  main     [kernel.kallsyms]     [k] tick_sched_do_timer
     0.05%     0.00%  main     [kernel.kallsyms]     [k] tick_do_update_jiffies64
     0.04%     0.00%  main     [kernel.kallsyms]     [k] update_wall_time
     0.04%     0.00%  main     [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.04%     0.00%  main     [kernel.kallsyms]     [k] do_syscall_64
     0.04%     0.01%  main     [kernel.kallsyms]     [k] timekeeping_advance
     0.03%     0.01%  main     [kernel.kallsyms]     [k] asm_exc_general_protection
     0.03%     0.00%  main     [kernel.kallsyms]     [k] timekeeping_update
     0.03%     0.03%  main     [kernel.kallsyms]     [k] sync_regs
     0.02%     0.00%  main     [kernel.kallsyms]     [k] task_tick_fair
     0.02%     0.02%  main     [kernel.kallsyms]     [k] native_write_msr
     0.02%     0.00%  main     [kernel.kallsyms]     [k] irq_exit_rcu
     0.02%     0.01%  main     [kernel.kallsyms]     [k] __get_user_nocheck_8
     0.02%     0.00%  main     [kernel.kallsyms]     [k] __irq_exit_rcu
     0.02%     0.00%  main     [kernel.kallsyms]     [k] enqueue_hrtimer
     0.02%     0.00%  main     [kernel.kallsyms]     [k] tick_program_event
     0.02%     0.01%  main     [kernel.kallsyms]     [k] asm_exc_page_fault
     0.02%     0.02%  main     [kernel.kallsyms]     [k] timerqueue_add
     0.02%     0.00%  main     libc.so.6             [.] read
     0.02%     0.00%  main     [kernel.kallsyms]     [k] __x64_sys_read
     0.02%     0.00%  main     [kernel.kallsyms]     [k] ksys_read
     0.02%     0.00%  main     [kernel.kallsyms]     [k] vfs_read
     0.02%     0.00%  main     [kernel.kallsyms]     [k] ext4_file_read_iter
     0.02%     0.00%  main     [kernel.kallsyms]     [k] generic_file_read_iter
     0.02%     0.00%  main     [kernel.kallsyms]     [k] filemap_read
     0.02%     0.00%  main     [kernel.kallsyms]     [k] x86_pmu_disable
     0.02%     0.00%  main     [kernel.kallsyms]     [k] copy_page_to_iter
     0.02%     0.00%  main     [kernel.kallsyms]     [k] _copy_to_iter
     0.01%     0.00%  main     [kernel.kallsyms]     [k] exc_general_protection
     0.01%     0.00%  main     [kernel.kallsyms]     [k] clockevents_program_event
     0.01%     0.00%  main     [kernel.kallsyms]     [k] raw_notifier_call_chain
     0.01%     0.01%  main     [kernel.kallsyms]     [k] __get_user_handle_exception
     0.01%     0.00%  main     [kernel.kallsyms]     [k] account_user_time
     0.01%     0.00%  main     [kernel.kallsyms]     [k] account_process_tick
